"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование успешной авторизации курьера","1487","test_successful_login","tests","2025-10-08","passed","2025-10-08","TestCourierLogin","test_courier_login","",""
"Тестирование авторизации без обязательных полей","720","test_login_missing_field[login]","tests","2025-10-08","passed","2025-10-08","TestCourierLogin","test_courier_login","",""
"Тестирование создания курьера без обязательных полей","717","test_create_courier_missing_field[password]","tests","2025-10-08","passed","2025-10-08","TestCourierCreation","test_courier_creation","",""
"Тестирование получения списка заказов с лимитом","8905","test_get_orders_list_with_limit","tests","2025-10-08","passed","2025-10-08","TestOrdersList","test_orders_list","",""
"Тестирование создания заказа с разными цветами","725","test_create_order_with_different_colors[color0]","tests","2025-10-08","passed","2025-10-08","TestOrderCreation","test_order_creation","",""
"Тестирование авторизации несуществующего пользователя","717","test_login_nonexistent_user","tests","2025-10-08","passed","2025-10-08","TestCourierLogin","test_courier_login","",""
"Тестирование создания курьера без обязательных полей","861","test_create_courier_missing_field[login]","tests","2025-10-08","passed","2025-10-08","TestCourierCreation","test_courier_creation","",""
"Тестирование авторизации с неправильным логином","735","test_login_with_wrong_login","tests","2025-10-08","passed","2025-10-08","TestCourierLogin","test_courier_login","",""
"Тестирование создания заказа с минимальными данными","722","test_create_order_minimal_data","tests","2025-10-08","passed","2025-10-08","TestOrderCreation","test_order_creation","",""
"Тестирование создания заказа с разными цветами","723","test_create_order_with_different_colors[color1]","tests","2025-10-08","passed","2025-10-08","TestOrderCreation","test_order_creation","",""
"Тестирование создания курьера с существующим логином","1636","test_create_courier_with_existing_login","tests","2025-10-08","passed","2025-10-08","TestCourierCreation","test_courier_creation","",""
"Тестирование получения списка заказов","6434","test_get_orders_list","tests","2025-10-08","passed","2025-10-08","TestOrdersList","test_orders_list","",""
"Тестирование получения списка заказов по страницам","5602","test_get_orders_list_with_page","tests","2025-10-08","passed","2025-10-08","TestOrdersList","test_orders_list","",""
"Тестирование авторизации с неправильным паролем","1496","test_login_with_wrong_password","tests","2025-10-08","passed","2025-10-08","TestCourierLogin","test_courier_login","",""
"Тестирование успешного создания курьера","816","test_successful_courier_creation","tests","2025-10-08","passed","2025-10-08","TestCourierCreation","test_courier_creation","",""
"Тестирование создания заказа с разными цветами","755","test_create_order_with_different_colors[color2]","tests","2025-10-08","passed","2025-10-08","TestOrderCreation","test_order_creation","",""
"Тестирование создания заказа без указания цвета","706","test_create_order_without_color","tests","2025-10-08","passed","2025-10-08","TestOrderCreation","test_order_creation","",""
"Тестирование создания заказа с разными цветами","713","test_create_order_with_different_colors[color3]","tests","2025-10-08","passed","2025-10-08","TestOrderCreation","test_order_creation","",""
